Letter Freq   Freq%  AvgFreq%   Diff
   A     0     0.0     8.2       -8.2
   B     0     0.0     1.5       -1.5
   C     3     15.0     2.8       12.2
   D     0     0.0     4.3       -4.3
   E     1     5.0     12.7       -7.7
   F     1     5.0     2.2       2.8
   G     1     5.0     2.0       3.0
   H     1     5.0     6.1       -1.1
   I     0     0.0     7.0       -7.0
   J     0     0.0     0.2       -0.2
   K     0     0.0     0.8       -0.8
   L     0     0.0     4.0       -4.0
   M     0     0.0     2.4       -2.4
   N     1     5.0     6.7       -1.7
   O     0     0.0     7.5       -7.5
   P     2     10.0     1.9       8.1
   Q     3     15.0     0.1       14.9
   R     2     10.0     6.0       4.0
   S     1     5.0     6.3       -1.3
   T     0     0.0     9.1       -9.1
   U     0     0.0     2.8       -2.8
   V     1     5.0     1.0       4.0
   W     1     5.0     2.4       2.6
   X     0     0.0     0.2       -0.2
   Y     1     5.0     2.0       3.0
   Z     0     0.0     0.1       -0.1
The most frequent character is Q at 15.8 % 
